A28102_at	GABRA3
M29877_at	FUCA1
M29927_at	OAT
M29971_at	MGMT
M30448_s_at	FBL
M30496_at	UCHL3
M30818_at	MX2
M30838_at	SFTPA1B
M30938_at	XRCC5
M31013_at	MYH9
M31158_at	PRKAR2B
M31169_s_at	PCCB
M31211_s_at	MYL6B
M31303_rna1_at	STMN1
M31423_s_at	CDR1
M31520_at	No result found
M31520_rna1_s_at	RPS27
M31523_at	TCF3
M31627_at	XBP1
M31642_at	HPRT1
M31667_f_at	CYP1A2
M31724_at	PTPN1
M31951_at	PRF1
M31994_at	ALDH1A1
M32011_at	NCF2
M32053_at	H19
M32304_s_at	TIMP2
M32315_at	TNFRSF1B
